NOTE 10184:  Began computing simulation run "0.2_PCT" at time 21Jan2011, 11:27:36.
NOTE 20364:  Found no parameter problems in meteorologic model "0.2% Event".
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100A" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100B" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K166A" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K166B" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K166C" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K166D" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K166E" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K166F" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K166G" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K166H" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100C" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100D" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100F" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100G" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100H" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K172A" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K160C" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K160A" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K160B" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100I" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K157A" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K157B" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K155A" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100J" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100K" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K159A" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100L" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K152A" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100M" may not be suitable for simulations longer than 14 days.
WARNING 40902:  The selected loss method "Green and Ampt" in subbasin "K100N1" may not be suitable for simulations longer than 14 days.
