"","Date","region1","region2","region3","region1_alt","region2_alt","region3_alt"
"1",19000101,NA,NA,NA,NA,NA,NA
"2",19000102,NA,NA,NA,NA,NA,NA
"3",19000103,NA,NA,NA,NA,NA,NA
"4",19000104,NA,NA,NA,NA,NA,NA
"5",19000105,NA,NA,NA,NA,NA,NA
"6",19000106,NA,NA,NA,NA,NA,NA
"7",19000107,NA,NA,NA,NA,NA,NA
"8",19000108,NA,NA,NA,NA,NA,NA
"9",19000109,NA,NA,NA,NA,NA,NA
"10",19000110,NA,NA,NA,NA,NA,NA
"11",19000111,NA,NA,NA,NA,NA,NA
"12",19000112,NA,NA,NA,NA,NA,NA
"13",19000113,NA,NA,NA,NA,NA,NA
"14",19000114,NA,NA,NA,NA,NA,NA
"15",19000115,NA,NA,NA,NA,NA,NA
"16",19000116,NA,NA,NA,NA,NA,NA
"17",19000117,NA,NA,NA,NA,NA,NA
"18",19000118,NA,NA,NA,NA,NA,NA
"19",19000119,NA,NA,NA,NA,NA,NA
"20",19000120,NA,NA,NA,NA,NA,NA
"21",19000121,NA,NA,NA,NA,NA,NA
"22",19000122,NA,NA,NA,NA,NA,NA
"23",19000123,NA,NA,NA,NA,NA,NA
"24",19000124,NA,NA,NA,NA,NA,NA
"25",19000125,NA,NA,NA,NA,NA,NA
"26",19000126,NA,NA,NA,NA,NA,NA
"27",19000127,NA,NA,NA,NA,NA,NA
"28",19000128,NA,NA,NA,NA,NA,NA
"29",19000129,NA,NA,NA,NA,NA,NA
"30",19000130,NA,NA,NA,NA,NA,NA
"31",19000131,NA,NA,NA,NA,NA,NA
"32",19000201,NA,NA,NA,NA,NA,NA
"33",19000202,NA,NA,NA,NA,NA,NA
"34",19000203,NA,NA,NA,NA,NA,NA
"35",19000204,NA,NA,NA,NA,NA,NA
"36",19000205,NA,NA,NA,NA,NA,NA
"37",19000206,NA,NA,NA,NA,NA,NA
"38",19000207,NA,NA,NA,NA,NA,NA
"39",19000208,NA,NA,NA,NA,NA,NA
"40",19000209,NA,NA,NA,NA,NA,NA
"41",19000210,NA,NA,NA,NA,NA,NA
"42",19000211,NA,NA,NA,NA,NA,NA
"43",19000212,NA,NA,NA,NA,NA,NA
"44",19000213,NA,NA,NA,NA,NA,NA
"45",19000214,NA,NA,NA,NA,NA,NA
"46",19000215,NA,NA,NA,NA,NA,NA
"47",19000216,NA,NA,NA,NA,NA,NA
"48",19000217,NA,NA,NA,NA,NA,NA
"49",19000218,NA,NA,NA,NA,NA,NA
