"","1","2","3"
"1",925127.331987246,898573.848262373,851207.194016614
"2",911602.778525535,875339.304922411,817180.636383363
"3",948246.883202677,901298.309740357,837771.14183993
"4",864022.164260756,819818.88278622,757884.833602006
"5",847157.522487132,802352.413497998,740251.013249344
"6",932899.813570906,892327.807236463,831639.391168641
"7",819383.540074985,773499.228556995,711092.440694574
"8",889744.756756813,840065.135362286,775469.550057564
"9",879602.145974442,833871.965829877,771196.999622017
"10",827602.983510854,790683.614689423,732550.186719517
"11",881464.896626401,835746.688825955,773067.32901515
"12",869038.070509582,814036.050475071,747679.380952103
"13",1003601.5670358,955936.432857128,891807.407089731
"14",813326.206637607,907129.806330084,894868.247375012
"15",297229.775371187,403932.474018732,410300.698114409
"16",391249.147678974,501366.151060632,515079.933859467
"17",342379.666803545,451264.752442195,464952.203398755
"18",314919.982257579,432478.602948633,445903.373594061
"19",298338.111632507,405375.248606602,411477.985133502
"20",284127.402977157,390815.92355705,397189.474167015
"21",290062.263582219,396719.403851691,403119.304576094
"22",382688.0391505,506195.841377385,519528.114479218
"23",293664.923676562,399291.65260813,409393.419466442
"24",340850.991636753,446611.424231998,460374.31572113
"25",341880.307097768,448981.594161099,462710.307851782
"26",280744.345694691,393346.930114778,406845.693073455
"27",302797.085295625,430213.767290228,443293.213587942
"28",322366.160964142,447105.71270428,460315.380010437
"29",287351.00682936,397919.107148543,399493.905234618
"30",312046.097991079,429584.545919569,443005.329300404
"31",440763.056734485,597555.07474582,608920.470848151
"32",441619.698052584,454249.258168217,436377.35569452
"33",367047.084527435,274437.880712382,240746.849454161
"34",413965.029520663,326699.749964609,289398.254219233
"35",400477.909893481,314615.772760716,284062.038793609
"36",506424.999181412,462958.630560432,436818.094812692
"37",462723.392205734,410153.753040555,384410.541558902
"38",346597.171298135,274638.804721324,253426.79075894
"39",509001.930437304,462321.937924397,435669.044977294
"40",504752.858046273,455502.097927073,428644.83144634
"41",400093.443446621,563496.933694088,580380.675737511
"42",376085.475174523,537988.362321357,553205.196419403
"43",387174.596554122,549148.431097756,564278.118025827
"44",383592.625362818,546638.475058192,563255.765304755
"45",386573.792414978,550033.338708036,567192.046319971
"46",389764.213338797,553037.56477235,569882.804152304
"47",399054.700146918,561621.348458652,577351.817983946
"48",371932.13916412,533331.113645743,553030.841076429
"49",376285.749535075,538112.488857682,553229.387105105
"50",400161.352161975,562767.403995631,578534.996935784
"51",396932.90292054,559820.109858885,576019.408560103
"52",392683.697926539,554740.947675593,569892.938338649
"53",402623.140431163,566698.793305385,584553.489229845
"54",390728.38021832,553224.916971029,568985.179400214
"55",402107.375189419,565695.410965386,582820.199729191
"56",403915.107971133,566477.907993539,582132.59897895
"57",433044.211799033,597210.543757662,614821.540971937
"58",386237.314707813,548003.188321705,562882.159535252
"59",394987.110960535,557324.330546156,572808.339060842
