"","X","watershed"
"1",1,NA
"2",2,NA
"3",3,NA
"4",4,NA
"5",5,NA
"6",6,NA
"7",7,NA
"8",8,NA
"9",9,NA
"10",10,NA
"11",11,NA
"12",12,NA
"13",13,NA
"14",14,NA
"15",15,NA
"16",16,NA
"17",17,NA
"18",18,NA
"19",19,NA
"20",20,NA
"21",21,NA
"22",22,NA
"23",23,NA
"24",24,NA
"25",25,NA
"26",26,NA
"27",27,NA
"28",28,NA
"29",29,NA
"30",30,NA
"31",31,NA
"32",32,NA
"33",33,"A"
"34",34,NA
"35",35,NA
"36",36,NA
"37",37,NA
"38",38,"A"
"39",39,NA
"40",40,NA
"41",41,NA
"42",42,NA
"43",43,NA
"44",44,NA
"45",45,NA
"46",46,NA
"47",47,NA
"48",48,NA
"49",49,NA
"50",50,NA
"51",51,NA
"52",52,NA
"53",53,NA
"54",54,NA
"55",55,NA
"56",56,NA
"57",57,NA
"58",58,NA
"59",59,NA
"60",60,NA
"61",61,NA
"62",62,NA
"63",63,NA
"64",64,NA
"65",65,NA
"66",66,NA
"67",67,NA
"68",68,NA
"69",69,NA
"70",70,NA
"71",71,NA
"72",72,NA
"73",73,NA
"74",74,NA
"75",75,NA
"76",76,NA
"77",77,NA
"78",78,NA
"79",79,NA
"80",80,NA
"81",81,NA
"82",82,NA
"83",83,NA
"84",84,NA
"85",85,NA
"86",86,NA
"87",87,NA
"88",88,NA
"89",89,NA
"90",90,NA
"91",91,NA
"92",92,NA
"93",93,NA
"94",94,NA
"95",95,NA
"96",96,NA
"97",97,NA
"98",98,"C"
"99",99,NA
"100",100,"T"
"101",101,NA
"102",102,NA
"103",103,NA
"104",104,"T"
"105",105,NA
"106",106,NA
"107",107,NA
"108",108,NA
"109",109,NA
"110",110,NA
"111",111,NA
"112",112,NA
"113",113,NA
"114",114,NA
"115",115,NA
"116",116,NA
"117",117,NA
"118",118,NA
"119",119,NA
"120",120,"A"
"121",121,"A"
"122",122,"A"
"123",123,NA
"124",124,NA
"125",125,NA
"126",126,"A"
"127",127,"A"
"128",128,"A"
"129",129,"A"
"130",130,NA
"131",131,NA
"132",132,"A"
"133",133,"A"
"134",134,"A"
"135",135,"A"
"136",136,"A"
"137",137,"A"
"138",138,NA
"139",139,"A"
"140",140,"A"
"141",141,NA
"142",142,"A"
"143",143,NA
"144",144,NA
"145",145,NA
"146",146,"A"
"147",147,NA
"148",148,NA
"149",149,NA
"150",150,NA
"151",151,"A"
"152",152,NA
"153",153,"A"
"154",154,NA
"155",155,"A"
"156",156,NA
"157",157,NA
"158",158,"A"
"159",159,NA
"160",160,NA
"161",161,NA
"162",162,NA
"163",163,NA
"164",164,NA
"165",165,"B"
"166",166,"D"
"167",167,"D"
"168",168,"G"
"169",169,"W"
"170",170,"D"
"171",171,"R"
"172",172,"E"
"173",173,"B"
"174",174,"B"
"175",175,"D"
"176",176,"W"
"177",177,"A"
"178",178,"J"
"179",179,"A"
"180",180,"A"
"181",181,"G"
"182",182,"P"
"183",183,"U"
"184",184,"U"
"185",185,"M"
"186",186,"B"
"187",187,"N"
"188",188,"U"
"189",189,"T"
"190",190,"B"
"191",191,"W"
"192",192,"J"
"193",193,"A"
"194",194,"A"
"195",195,"D"
"196",196,"K, L"
"197",197,"D"
"198",198,"K, L"
"199",199,"O"
"200",200,"I"
"201",201,"M"
"202",202,"P"
"203",203,"I"
"204",204,"W"
"205",205,"Q"
"206",206,"A"
"207",207,"I"
"208",208,"I"
"209",209,"B"
"210",210,"G"
"211",211,"G"
"212",212,"K, L"
"213",213,"T"
"214",214,"M"
"215",215,"M"
"216",216,"D"
"217",217,"K, L"
"218",218,"B"
"219",219,"D"
"220",220,"K, L"
"221",221,"M"
"222",222,"A"
"223",223,"K, L"
"224",224,"P"
"225",225,"A"
"226",226,"G"
"227",227,"D"
"228",228,"E"
"229",229,"D"
"230",230,"E"
"231",231,"E"
"232",232,"K, L"
"233",233,"A"
"234",234,"A"
"235",235,"E"
"236",236,"U"
"237",237,"M"
"238",238,"W"
"239",239,"W"
"240",240,"T"
"241",241,"E"
"242",242,"W"
"243",243,"S"
"244",244,"A"
"245",245,"T"
"246",246,"K, L"
"247",247,"T"
"248",248,"W"
"249",249,"F"
"250",250,"W"
"251",251,"B"
"252",252,NA
"253",253,NA
"254",254,NA
"255",255,NA
"256",256,NA
"257",257,NA
"258",258,NA
"259",259,NA
"260",260,NA
"261",261,NA
"262",262,NA
"263",263,NA
"264",264,NA
"265",265,NA
"266",266,NA
"267",267,NA
"268",268,NA
"269",269,NA
"270",270,NA
"271",271,NA
"272",272,NA
"273",273,NA
"274",274,NA
"275",275,NA
"276",276,NA
"277",277,NA
"278",278,NA
"279",279,NA
"280",280,NA
"281",281,NA
"282",282,NA
"283",283,NA
"284",284,NA
"285",285,NA
"286",286,NA
"287",287,NA
"288",288,NA
"289",289,NA
"290",290,NA
"291",291,"J"
"292",292,NA
"293",293,NA
"294",294,NA
"295",295,NA
"296",296,NA
"297",297,NA
"298",298,"J"
"299",299,"J"
"300",300,"J"
"301",301,"G"
"302",302,"J"
"303",303,NA
"304",304,NA
"305",305,"J"
"306",306,"J"
"307",307,NA
"308",308,"J"
"309",309,NA
"310",310,"J"
"311",311,"J"
"312",312,NA
"313",313,NA
"314",314,"J"
"315",315,NA
"316",316,NA
"317",317,NA
"318",318,NA
"319",319,NA
"320",320,NA
"321",321,NA
"322",322,NA
"323",323,NA
"324",324,NA
"325",325,NA
"326",326,NA
"327",327,NA
"328",328,NA
"329",329,NA
"330",330,NA
"331",331,NA
"332",332,NA
"333",333,NA
"334",334,NA
"335",335,NA
"336",336,NA
"337",337,NA
"338",338,NA
"339",339,NA
"340",340,NA
"341",341,NA
"342",342,NA
"343",343,NA
"344",344,NA
"345",345,NA
"346",346,NA
"347",347,NA
"348",348,NA
"349",349,NA
"350",350,NA
"351",351,NA
"352",352,NA
"353",353,NA
"354",354,NA
"355",355,NA
"356",356,NA
"357",357,NA
"358",358,NA
"359",359,NA
"360",360,NA
"361",361,NA
"362",362,NA
"363",363,NA
"364",364,NA
"365",365,NA
"366",366,NA
"367",367,NA
"368",368,NA
"369",369,NA
"370",370,NA
"371",371,NA
"372",372,NA
"373",373,NA
"374",374,NA
"375",375,NA
"376",376,NA
"377",377,NA
"378",378,NA
"379",379,NA
"380",380,NA
"381",381,NA
"382",382,NA
"383",383,NA
"384",384,NA
"385",385,NA
"386",386,NA
"387",387,NA
"388",388,NA
"389",389,NA
"390",390,NA
"391",391,NA
"392",392,NA
"393",393,NA
"394",394,NA
"395",395,NA
"396",396,NA
"397",397,NA
"398",398,NA
"399",399,NA
"400",400,NA
"401",401,"J"
"402",402,NA
"403",403,NA
"404",404,NA
"405",405,NA
"406",406,NA
"407",407,NA
"408",408,NA
"409",409,NA
"410",410,NA
"411",411,NA
"412",412,NA
"413",413,NA
"414",414,NA
"415",415,NA
"416",416,NA
"417",417,NA
"418",418,NA
"419",419,NA
"420",420,NA
"421",421,NA
"422",422,NA
"423",423,NA
"424",424,NA
"425",425,NA
"426",426,NA
"427",427,NA
"428",428,NA
"429",429,NA
"430",430,NA
"431",431,NA
"432",432,NA
"433",433,NA
"434",434,NA
"435",435,NA
"436",436,NA
"437",437,NA
"438",438,NA
"439",439,NA
"440",440,NA
"441",441,NA
"442",442,NA
"443",443,NA
"444",444,"U"
"445",445,NA
"446",446,NA
"447",447,"Q"
"448",448,NA
"449",449,NA
"450",450,NA
"451",451,NA
"452",452,NA
"453",453,NA
"454",454,NA
"455",455,NA
"456",456,NA
"457",457,NA
"458",458,NA
"459",459,NA
"460",460,NA
"461",461,"D"
"462",462,NA
"463",463,NA
"464",464,NA
"465",465,NA
"466",466,NA
"467",467,NA
"468",468,"K, L"
"469",469,NA
"470",470,NA
"471",471,"G"
"472",472,NA
"473",473,NA
"474",474,NA
"475",475,NA
"476",476,NA
"477",477,NA
"478",478,NA
"479",479,NA
"480",480,NA
"481",481,"W"
"482",482,NA
"483",483,NA
"484",484,"T"
"485",485,"O"
"486",486,NA
"487",487,NA
"488",488,"W"
"489",489,"E"
"490",490,"D"
"491",491,"U"
"492",492,"G"
"493",493,"W"
"494",494,"C"
"495",495,"E"
"496",496,"E"
"497",497,"D"
"498",498,"G"
"499",499,"E"
"500",500,"G"
"501",501,"E"
"502",502,"W"
"503",503,NA
"504",504,NA
"505",505,"G"
"506",506,NA
"507",507,NA
"508",508,"E"
"509",509,NA
"510",510,NA
"511",511,NA
"512",512,"T"
"513",513,"T"
"514",514,NA
"515",515,NA
"516",516,NA
"517",517,NA
"518",518,NA
"519",519,NA
"520",520,"J"
"521",521,NA
"522",522,NA
"523",523,NA
"524",524,NA
"525",525,NA
"526",526,NA
"527",527,"G"
"528",528,NA
"529",529,NA
"530",530,NA
"531",531,NA
"532",532,NA
"533",533,NA
"534",534,NA
"535",535,"I"
"536",536,"U"
"537",537,NA
"538",538,NA
"539",539,NA
"540",540,NA
"541",541,NA
"542",542,NA
"543",543,NA
"544",544,NA
"545",545,NA
"546",546,NA
"547",547,NA
"548",548,NA
"549",549,NA
"550",550,NA
"551",551,NA
"552",552,NA
"553",553,NA
"554",554,NA
"555",555,NA
"556",556,NA
"557",557,NA
"558",558,NA
"559",559,NA
"560",560,NA
"561",561,NA
"562",562,"G"
"563",563,NA
"564",564,NA
"565",565,NA
"566",566,NA
"567",567,NA
"568",568,NA
"569",569,"J"
"570",570,NA
"571",571,NA
"572",572,"K, L"
"573",573,NA
"574",574,NA
"575",575,NA
"576",576,NA
"577",577,NA
"578",578,NA
"579",579,NA
"580",580,NA
"581",581,NA
"582",582,NA
"583",583,NA
"584",584,NA
"585",585,NA
"586",586,"B"
"587",587,NA
"588",588,"C"
"589",589,NA
"590",590,NA
"591",591,NA
"592",592,"E"
"593",593,"P"
"594",594,"A"
"595",595,NA
"596",596,NA
"597",597,NA
"598",598,NA
"599",599,NA
"600",600,NA
"601",601,"K, L"
