"","V1"
"1",925127.331987246
"2",911602.778525535
"3",948246.883202677
"4",864022.164260756
"5",847157.522487132
"6",932899.813570906
"7",819383.540074985
"8",889744.756756813
"9",879602.145974442
"10",827602.983510854
"11",881464.896626401
"12",869038.070509582
"13",1003601.5670358
"14",907129.806330084
"15",410300.698114409
"16",515079.933859467
"17",464952.203398755
"18",445903.373594061
"19",411477.985133502
"20",397189.474167015
"21",403119.304576094
"22",519528.114479218
"23",409393.419466442
"24",460374.31572113
"25",462710.307851782
"26",406845.693073455
"27",443293.213587942
"28",460315.380010437
"29",399493.905234618
"30",443005.329300404
"31",608920.470848151
"32",454249.258168217
"33",367047.084527435
"34",413965.029520663
"35",400477.909893481
"36",506424.999181412
"37",462723.392205734
"38",346597.171298135
"39",509001.930437304
"40",504752.858046273
"41",580380.675737511
"42",553205.196419403
"43",564278.118025827
"44",563255.765304755
"45",567192.046319971
"46",569882.804152304
"47",577351.817983946
"48",553030.841076429
"49",553229.387105105
"50",578534.996935784
"51",576019.408560103
"52",569892.938338649
"53",584553.489229845
"54",568985.179400214
"55",582820.199729191
"56",582132.59897895
"57",614821.540971937
"58",562882.159535252
"59",572808.339060842
"60",576008.006950925
"61",626489.449419616
"62",593169.824673017
"63",571339.275970852
"64",585438.577151293
"65",570977.428548757
"66",514544.291007208
"67",512809.014990409
"68",401394.141506418
"69",468325.140873168
"70",372490.995446246
"71",844685.753726369
"72",784954.556437599
"73",861165.937186656
"74",786764.720713325
"75",783634.876377488
"76",790602.852066299
"77",857543.840992229
"78",751852.176321223
"79",811888.354022366
"80",791305.946671944
"81",775006.183555888
"82",837821.059204482
"83",783134.176255835
"84",530423.157342713
"85",611920.712852848
"86",509255.491150649
"87",554759.623400211
"88",509450.787809429
"89",385097.611517787
"90",328449.171007559
"91",304323.542150174
"92",335826.696792898
"93",336553.864197635
"94",302649.822414757
"95",395942.484064096
"96",322848.385998504
"97",325409.375968922
"98",298590.973636313
"99",346021.672223302
"100",299084.282087571
"101",295300.651634896
"102",311191.13456626
"103",350898.317909396
"104",320360.338098818
"105",357069.44895123
"106",317435.243916545
"107",341541.285243781
"108",342959.602306221
"109",318161.067240477
"110",319806.871742579
"111",592081.03322779
"112",577298.022248451
"113",564428.968052902
"114",613347.469411362
"115",607526.118689215
"116",542889.43146775
"117",563944.093066577
"118",541231.331103541
"119",428341.612546911
"120",412875.765909825
"121",404079.738318547
"122",389853.552100023
"123",489822.704549757
"124",421340.264628432
"125",421522.187781315
"126",414077.770524891
"127",401667.064051477
"128",400253.351933791
"129",404650.742730751
"130",467203.757865483
"131",528122.63686994
"132",404617.5774845
"133",405785.268469699
"134",410414.697634745
"135",407571.710779
"136",403523.782305
"137",404550.337302328
"138",525187.42064805
"139",405232.484380887
"140",414697.046767342
"141",428084.861079384
"142",401919.634820338
"143",439653.867042401
"144",472749.615091131
"145",475635.509576221
"146",405322.433370878
"147",422398.200414433
"148",533271.558200649
"149",429719.572503765
"150",522380.240425447
"151",413431.491828193
"152",485731.732806648
"153",406863.140217717
"154",472553.99164719
"155",400324.76121663
"156",528177.235056907
"157",443924.095077075
"158",389608.001364088
"159",467540.819650102
"160",569330.100040887
"161",531346.996406006
"162",552352.133112328
"163",550099.095537876
"164",534537.840107874
"165",377913.972948102
"166",302921.039799486
"167",285651.32190612
"168",264581.132184855
"169",253310.710475959
"170",285824.788262223
"171",311564.014796469
"172",271949.280268793
"173",372893.638097207
"174",394408.48064535
"175",281717.179899251
"176",233210.809314037
"177",392018.973767858
"178",287180.57708902
"179",377524.246609067
"180",345184.717833386
"181",267125.682729898
"182",281453.460857412
"183",280140.157734787
"184",262025.532589027
"185",302429.675246608
"186",370876.222325998
"187",324309.035692798
"188",276527.418387002
"189",293381.247576801
"190",388769.561940771
"191",232698.774958921
"192",275582.287617754
"193",393378.564509314
"194",389208.911952656
"195",293282.668052484
"196",262171.625482224
"197",279076.311924746
"198",262354.233093232
"199",377012.50218935
"200",347704.11448958
"201",270808.371212058
"202",228611.060011109
"203",351574.858408782
"204",237367.929148694
"205",380970.421234251
"206",381635.791483399
"207",331083.196640424
"208",335839.848890322
"209",376276.512041179
"210",395558.16351067
"211",320413.364925639
"212",317601.819653613
"213",305938.378725447
"214",281783.548309669
"215",284507.88331788
"216",279252.835093293
"217",262955.038835375
"218",375023.341189841
"219",286649.606331612
"220",233836.090241958
"221",268169.677535506
"222",388127.182321733
"223",213499.403297057
"224",309465.121583129
"225",346766.433860841
"226",253179.985863822
"227",287590.858092981
"228",235565.101626576
"229",271593.282696279
"230",253076.952432837
"231",271281.087179723
"232",235208.833551451
"233",362455.38712199
"234",381901.477090309
"235",250197.671584595
"236",277992.710895921
"237",279395.175610889
"238",277707.960315282
"239",240618.299386632
"240",293758.800305747
"241",267976.716550131
"242",259394.235862079
"243",278079.892433418
"244",386312.688816647
"245",282957.795154698
"246",268880.851407667
"247",285327.622498185
"248",279789.74904051
"249",386398.182203542
"250",261597.060404348
"251",381085.430938727
"252",642019.415057333
"253",662272.799373363
"254",644874.74358829
"255",663061.60449382
"256",588450.644185395
"257",575432.221057313
"258",584995.83225286
"259",571487.905914206
"260",641386.521397624
"261",580546.486430053
"262",708457.764252901
"263",649659.2181013
"264",696889.248179001
"265",653987.505413237
"266",705917.445000917
"267",716503.455731259
"268",705930.289025183
"269",667997.200264518
"270",334415.857509179
"271",374026.997834412
"272",347964.017872803
"273",347670.80212546
"274",351580.071846152
"275",326137.592439121
"276",327111.238334181
"277",348658.80905275
"278",352361.793884536
"279",664771.239382705
"280",651748.301931204
"281",583569.544945706
"282",731777.04303118
"283",707446.62952539
"284",719620.091335409
"285",722645.992282353
"286",691135.466445161
"287",705541.956605957
"288",364175.966299819
"289",404643.524390881
"290",375069.098639575
"291",287152.350541859
"292",388387.890824887
"293",370666.986388537
"294",356658.018351621
"295",372964.266069527
"296",373008.555137253
"297",389161.466515392
"298",303378.427214359
"299",308808.20598559
"300",295102.509765218
"301",255697.286507707
"302",272396.216097861
"303",331183.959296643
"304",344531.977717503
"305",308835.361512498
"306",310101.298018146
"307",373813.820962647
"308",306114.944439611
"309",328728.055936094
"310",318528.302936695
"311",333692.644222321
"312",326144.056463416
"313",359382.128985476
"314",272331.64054253
"315",324914.91408603
"316",543124.659490709
"317",545867.299454795
"318",621445.875632436
"319",671047.684817537
"320",634058.676582308
"321",712898.981560978
"322",639952.209845526
"323",453972.450344046
"324",487715.519545252
"325",465279.657330235
"326",498446.042995564
"327",482552.926305791
"328",459902.732029127
"329",465984.032850594
"330",452023.731428167
"331",488937.950585318
"332",437660.243403462
"333",465455.224543989
"334",451435.207919604
"335",509150.185380844
"336",489214.373836791
"337",461698.836977471
"338",498038.324288398
"339",531081.592197272
"340",510200.524562142
"341",388548.073626867
"342",496971.55346734
"343",464313.222659751
"344",575266.935289817
"345",574206.770508188
"346",570889.286267203
"347",630388.294266082
"348",765058.531388676
"349",758117.407822201
"350",570701.648776619
"351",444628.513490859
"352",525252.101650144
"353",529578.750885751
"354",470474.872884115
"355",472728.094488321
"356",567647.373808285
"357",470485.732258876
"358",469373.82546542
"359",463292.571544593
"360",468012.209178588
"361",613449.434502559
"362",500111.027014857
"363",537193.370405202
"364",515083.6755658
"365",538194.859784281
"366",558041.97207155
"367",506843.30225582
"368",553510.720605337
